Actual,date
3173,2025-12-12
13584,2025-12-13
7628,2025-12-14
8679,2025-12-15
6702,2025-12-16
2047,2025-12-17
1038,2025-12-21
4383,2025-12-22
11666,2025-12-23
7916,2025-12-24
7611,2025-12-25
7894,2025-12-26
3813,2025-12-27
7485,2025-12-28
6947,2025-12-29
6655,2025-12-30
6219,2025-12-31
5100,2026-01-01
6133,2026-01-02
15922,2026-01-03
9104,2026-01-04
8505,2026-01-05
8367,2026-01-06
3701,2026-01-07
5809,2026-01-08
9108,2026-01-09
11368,2026-01-10
8302,2026-01-11
2036,2026-01-12
16541,2026-01-13
7718,2026-01-14
3746,2026-01-15
14673,2026-01-16
14178,2026-01-17
7414,2026-01-18
10656,2026-01-19
8120,2026-01-20
9560,2026-01-21
2834,2026-01-22
4048,2026-01-23
